SEQN,Gender,Age,Ethnicity,US born,Education,Marital Status,HouseholdSize,AgeUnder6,Age6to18,AgeOver60,HouseholdIncome,IncomePovertyRatio
100864,Male,0,Other Hispanic,1,5.0,,3,1,0,0,5.0,
100870,Male,0,Mexican-American,1,,,5,2,1,0,35.0,0.87
100878,Female,0,White,1,,,7,3,3,0,45.0,0.59
100953,Male,0,Mexican-American,1,,,7,3,1,0,55.0,1.06
101053,Male,0,Black,1,,,5,1,2,0,65.0,1.87
101104,Female,0,Black,1,,,5,1,1,0,86.0,3.13
101121,Male,0,Black,1,,,6,3,1,0,55.0,1.52
101135,Female,0,Mexican-American,1,,,7,2,0,0,65.0,1.58
101154,Male,0,Mexican-American,1,3.0,,7,2,2,0,87.0,
101178,Female,0,Others,1,4.0,,3,2,0,0,20.0,0.91
101210,Female,0,White,1,4.0,,5,2,1,0,55.0,1.56
101301,Male,0,Black,1,,,3,1,1,0,45.0,1.76
101321,Female,0,White,1,5.0,,3,1,0,0,45.0,1.71
101347,Female,0,Black,1,4.0,,7,3,1,0,35.0,0.79
101353,Male,0,White,1,5.0,,6,3,1,0,35.0,0.91
101367,Female,0,White,1,,,4,1,1,0,63.0,
101383,Male,0,Black,1,,,4,2,0,0,55.0,2.15
101495,Female,0,Black,1,3.0,,6,2,2,0,,
101532,Female,0,Mexican-American,1,1.0,,5,2,1,0,15.0,0.4
101554,Male,0,Black,1,,,3,1,1,0,15.0,0.69
101602,Female,0,White,1,5.0,,7,2,3,0,45.0,1.06
101624,Male,0,White,1,,,5,1,2,0,45.0,1.36
101637,Male,0,Other Hispanic,1,4.0,,3,1,0,0,5.0,0.17
101684,Male,0,Other Hispanic,1,4.0,,6,2,0,0,46.0,
101699,Male,0,White,1,,,3,1,0,0,87.0,4.29
101712,Female,0,Others,1,2.0,,4,2,0,0,75.0,2.79
101713,Female,0,Other Hispanic,1,1.0,,7,2,1,0,933.0,4.04
101776,Male,0,Mexican-American,1,4.0,,4,2,0,0,55.0,1.91
101816,Female,0,Black,1,,,6,3,1,0,63.0,
101849,Female,0,Mexican-American,1,3.0,,5,2,1,0,45.0,1.33
101897,Female,0,White,1,,,3,1,0,0,242.0,5.0
101906,Male,0,White,1,1.0,,4,2,0,0,84.0,3.96
101909,Male,0,White,1,,,3,1,0,0,833.0,5.0
101916,Male,0,Mexican-American,1,,,4,2,0,0,15.0,0.49
101963,Male,0,White,1,,,5,3,0,0,92.0,2.72
102023,Female,0,Mexican-American,1,,,3,1,0,0,20.0,0.81
102034,Male,0,Mexican-American,1,0.0,,7,3,2,0,35.0,0.5
102075,Male,0,Others,1,3.0,,2,1,0,0,5.0,0.02
102108,Male,0,Mexican-American,1,5.0,,4,1,1,0,45.0,1.39
102109,Male,0,Black,1,5.0,,7,2,3,0,,
102118,Male,0,Black,1,2.0,,6,2,1,1,,
102142,Female,0,White,1,2.0,,4,2,0,0,45.0,1.59
102156,Female,0,White,1,,,6,1,3,0,20.0,0.53
102164,Female,0,Asian,1,3.0,,5,3,0,0,252.0,5.0
102176,Female,0,Black,1,2.0,,7,3,2,0,45.0,1.02
102195,Male,0,Mexican-American,1,,,6,2,2,0,35.0,0.8
102220,Female,0,White,1,,,6,3,1,0,55.0,1.52
102246,Female,0,Other Hispanic,1,5.0,,7,2,0,1,15.0,0.28
102247,Female,0,White,1,5.0,,4,1,1,0,861.0,5.0
102280,Male,0,White,1,5.0,,4,2,0,0,94.0,3.05
102282,Female,0,Mexican-American,1,2.0,,7,3,2,0,25.0,0.45
102286,Male,0,White,1,4.0,,5,3,0,0,45.0,1.26
102446,Female,0,Black,1,3.0,,6,1,1,0,96.0,2.81
102470,Male,0,White,1,5.0,,5,2,1,0,904.0,5.0
102502,Male,0,Black,1,2.0,,3,2,0,0,10.0,0.35
102519,Female,0,Black,1,1.0,,3,1,0,0,331.0,5.0
102523,Male,0,White,1,1.0,,4,2,0,0,45.0,1.54
102527,Female,0,White,1,3.0,,7,2,0,0,88.0,2.01
102558,Female,0,Other Hispanic,1,3.0,,5,1,2,0,76.0,2.65
102563,Male,0,Black,1,4.0,,7,2,3,1,13.0,
102670,Female,0,Other Hispanic,1,3.0,,7,3,3,0,35.0,0.73
102760,Female,0,Mexican-American,1,3.0,,3,1,0,0,88.0,3.85
102764,Male,0,Mexican-American,1,,,3,1,0,0,55.0,2.17
102813,Male,0,White,1,1.0,,4,1,0,0,65.0,2.52
102824,Female,0,White,1,3.0,,4,2,0,0,933.0,4.78
102840,Male,0,White,1,1.0,,3,1,0,0,298.0,4.81
102862,Female,0,White,1,,,7,2,1,0,101.0,2.73
102919,Male,0,White,1,2.0,,4,2,0,0,145.0,5.0
102927,Male,0,White,1,4.0,,5,3,0,0,978.0,4.0
102942,Female,0,White,1,2.0,,2,1,0,0,45.0,2.46
93872,Male,1,Mexican-American,1,4.0,,6,2,1,0,,
93933,Female,1,Black,1,2.0,,4,2,0,0,20.0,0.61
94817,Female,1,Asian,1,,,6,1,2,0,,
95018,Female,1,Others,1,,,3,2,0,0,,
95438,Male,1,White,1,,,3,1,0,0,591.0,5.0
96454,Male,1,Others,1,3.0,,3,1,0,0,15.0,0.48
96767,Male,1,Asian,1,,,7,2,3,0,45.0,1.02
96769,Female,1,Others,1,2.0,,3,1,0,0,65.0,2.89
97718,Female,1,Other Hispanic,1,4.0,,4,2,0,0,65.0,2.28
97968,Female,1,White,1,3.0,,4,2,0,0,522.0,5.0
99620,Male,1,White,1,,,4,2,0,0,45.0,1.59
100166,Female,1,White,1,5.0,,2,1,0,0,63.0,
100209,Male,1,Others,1,,,4,1,0,0,25.0,0.81
100845,Male,1,Others,1,2.0,,2,1,0,0,,
101110,Female,1,Others,1,4.0,,3,1,0,0,215.0,5.0
101223,Male,1,Mexican-American,2,,,4,1,1,0,35.0,1.15
102120,Female,1,Black,1,,,3,2,0,0,35.0,1.29
102144,Female,1,Other Hispanic,1,4.0,,6,2,2,0,46.0,
102449,Female,1,White,1,,,3,1,0,0,812.0,5.0
102736,Male,1,Asian,1,,,4,1,1,0,863.0,5.0
102902,Male,1,White,1,3.0,,5,3,0,0,20.0,0.66
93720,Female,1,Black,1,5.0,,3,1,0,0,80.0,4.77
93749,Female,1,White,1,4.0,,7,2,3,0,15.0,0.29
93764,Female,1,White,1,,,3,1,0,0,35.0,1.67
93804,Male,1,White,1,3.0,,4,2,0,0,25.0,0.8
93809,Male,1,Others,1,3.0,,4,2,0,0,970.0,4.47
93967,Male,1,White,1,3.0,,4,1,1,0,20.0,0.67
94022,Female,1,Other Hispanic,1,,,4,2,0,0,20.0,0.69
94066,Female,1,White,1,,,5,3,0,0,145.0,4.76
94088,Female,1,White,1,,,4,2,0,0,78.0,3.94
94115,Male,1,White,1,,,4,2,0,0,10.0,0.33
94296,Female,1,White,1,,,3,1,0,0,45.0,1.96
94391,Male,1,White,1,1.0,,4,2,0,0,646.0,5.0
94435,Male,1,Black,1,3.0,,3,1,0,0,55.0,2.17
94437,Male,1,Black,1,,,4,2,0,0,20.0,0.68
94449,Male,1,White,1,4.0,,3,1,0,0,35.0,1.2
94454,Male,1,Other Hispanic,1,5.0,,3,1,0,0,75.0,3.43
94466,Male,1,Asian,1,3.0,,3,1,0,0,118.0,5.0
94582,Male,1,Mexican-American,1,4.0,,3,1,0,0,45.0,1.68
94680,Male,1,White,1,4.0,,6,1,1,1,45.0,1.21
94712,Male,1,White,1,,,3,1,0,0,20.0,0.95
94714,Male,1,Black,1,4.0,,3,1,0,0,10.0,0.46
94815,Male,1,Black,1,4.0,,7,3,0,0,55.0,1.21
94823,Female,1,Black,1,,,4,1,1,0,20.0,0.6
95012,Female,1,White,1,,,3,1,0,0,35.0,1.44
95164,Male,1,Other Hispanic,1,4.0,,4,2,0,0,104.0,5.0
95178,Male,1,White,1,,,4,2,0,0,350.0,5.0
95196,Female,1,Black,1,,,6,3,0,0,,
95205,Female,1,White,1,1.0,,4,1,0,1,75.0,2.67
95240,Female,1,Asian,1,,,7,2,2,1,45.0,0.79
95267,Male,1,Black,1,,,4,1,1,0,45.0,1.59
95294,Female,1,Mexican-American,1,,,6,1,3,0,45.0,1.24
